Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
4.543733,2144,216,,,,,,,,,,1152,537.313,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.543971,1696,227,,,,,,,,,,128,75.472,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.544081,9888,238,,,,,,,,,,73728,7456.311,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.544156,1728,249,,,,,,,,,,256,148.148,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.544878,884926,262,,,,,,,,,,4718592,5332.188,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.545894,1952,273,,,,,,,,,,512,262.295,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.545964,2240,284,,,,,,,,,,5120,2285.714,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.545999,1664,295,,,,,,,,,,40,24.038,Pageable,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.624293,14496,330,,,,,,,,,,100352,6922.737,Pinned,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.624457,1696,341,,,,,,,,,,256,150.943,Pinned,Device,Tesla V100-SXM2-16GB (0),1,7,[CUDA memcpy HtoD]
4.628513,4096,387,,,,,,,,,,15360,3750.000,Device,,Tesla V100-SXM2-16GB (0),1,21,[CUDA memset]
4.628554,3712,395,,,,,,,,,,15360,4137.931,Device,,Tesla V100-SXM2-16GB (0),1,22,[CUDA memset]
4.628583,3680,397,,,,,,,,,,15360,4173.913,Device,,Tesla V100-SXM2-16GB (0),1,23,[CUDA memset]
4.628840,3712,399,,,,,,,,,,15360,4137.931,Device,,Tesla V100-SXM2-16GB (0),1,24,[CUDA memset]
