Start(sec),Duration(nsec),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem,DymSMem,Bytes,Thru(MB/s),SrcMemKd,DstMemKd,Device,Ctx,Strm,Name
10.476256,6112,129,,,,,,,,,,37632,6157.068,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.476888,2207,141,,,,,,,,,,256,115.995,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.476951,2209,153,,,,,,,,,,256,115.890,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477008,2207,165,,,,,,,,,,256,115.995,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477039,2209,177,,,,,,,,,,256,115.890,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477069,2207,189,,,,,,,,,,8,3.625,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477185,16064,201,,,,,,,,,,147456,9179.283,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477299,2176,213,,,,,,,,,,256,117.647,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477344,2208,225,,,,,,,,,,256,115.942,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477402,2208,237,,,,,,,,,,256,115.942,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477454,2240,249,,,,,,,,,,256,114.286,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477518,2208,261,,,,,,,,,,8,3.623,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477634,15776,273,,,,,,,,,,147456,9346.856,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477727,2176,285,,,,,,,,,,256,117.647,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477782,2176,297,,,,,,,,,,256,117.647,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477825,2144,309,,,,,,,,,,256,119.403,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
10.477856,2176,321,,,,,,,,,,256,117.647,Pageable,Device,NVIDIA A100-SXM4-40GB (0),1,7,[CUDA memcpy HtoD]
